,date,method,class_1,class_2,class_3,class_4
209,8/26/2020,Fixed (20),0,6,120,73
210,8/26/2020,Fixed (4),0,30,52,73
211,8/26/2020,Hist Prev (20),0,17,84,73
212,8/26/2020,Hist Prev (4),0,30,52,73
213,8/26/2020,Individual,0,0,0,193
214,8/26/2020,PET (20),11,21,47,73
215,8/26/2020,PET (4),11,21,45,73
216,8/26/2020,tOPS,0,30,52,73
217,8/27/2020,Fixed (20),0,29,539,202
218,8/27/2020,Fixed (4),0,136,270,203
219,8/27/2020,Hist Prev (20),0,69,408,203
220,8/27/2020,Hist Prev (4),0,136,270,203
221,8/27/2020,Individual,0,0,0,744
222,8/27/2020,PET (20),46,128,226.5,203
223,8/27/2020,PET (4),46,128,224,203
224,8/27/2020,tOPS,0,170,228,203
225,8/28/2020,Fixed (20),0,12,191,163
226,8/28/2020,Fixed (4),0,58,75,163
227,8/28/2020,Hist Prev (20),0,44,100,163
228,8/28/2020,Hist Prev (4),0,58,75,163
229,8/28/2020,Individual,0,0,0,394
230,8/28/2020,PET (20),21,37,68,163
231,8/28/2020,PET (4),21,42,66,163
232,8/28/2020,tOPS,0,52,77,163
233,8/31/2020,Fixed (20),0,2,38,261
234,8/31/2020,Fixed (4),0,10,16,261
235,8/31/2020,Hist Prev (20),0,10,16,261
236,8/31/2020,Hist Prev (4),0,10,16,261
237,8/31/2020,Individual,0,0,0,299
238,8/31/2020,PET (20),4,6,15,261
239,8/31/2020,PET (4),4,6,15,261
240,8/31/2020,tOPS,0,10,16,261
241,9/1/2020,Fixed (20),0,9,154,273
242,9/1/2020,Fixed (4),0,44,64,273
243,9/1/2020,Hist Prev (20),0,25,97,273
244,9/1/2020,Hist Prev (4),0,44,64,273
245,9/1/2020,Individual,0,0,0,447
246,9/1/2020,PET (20),15,32,60,274
247,9/1/2020,PET (4),15,32,59,274
248,9/1/2020,tOPS,0,44,64,273
249,9/2/2020,Fixed (20),0,26,476,293
250,9/2/2020,Fixed (4),0,123,251,294
251,9/2/2020,Hist Prev (20),0,91,310,293
252,9/2/2020,Hist Prev (4),0,123,251,294
253,9/2/2020,Individual,0,0,0,784
254,9/2/2020,PET (20),42,114,214,295
255,9/2/2020,PET (4),42,114,209,295
256,9/2/2020,tOPS,0,143,225,293
257,9/3/2020,Fixed (20),0,15,257,216
258,9/3/2020,Fixed (4),0,71,124,218
259,9/3/2020,Hist Prev (20),0,58,145,217
260,9/3/2020,Hist Prev (4),0,71,124,218
261,9/3/2020,Individual,0,0,0,502
262,9/3/2020,PET (20),25,57,109,217
263,9/3/2020,PET (4),25,62,106,217
264,9/3/2020,tOPS,0,78,113,217
265,9/4/2020,Fixed (20),0,8,106,307
266,9/4/2020,Fixed (4),0,37,32,307
267,9/4/2020,Hist Prev (20),0,37,32,307
268,9/4/2020,Hist Prev (4),0,37,32,307
269,9/4/2020,Individual,0,0,0,453
270,9/4/2020,PET (20),13,21,36,307
271,9/4/2020,PET (4),13,26,31,307
272,9/4/2020,tOPS,0,29,40,308
273,9/8/2020,Fixed (20),0,39,540,202
274,9/8/2020,Fixed (4),0,187,208,204
275,9/8/2020,Hist Prev (20),0,162,242,204
276,9/8/2020,Hist Prev (4),0,189,208,204
277,9/8/2020,Individual,0,0,0,952
278,9/8/2020,PET (20),64,119,202,203
279,9/8/2020,PET (4),64,139,193,204
280,9/8/2020,tOPS,0,158,223,202
281,9/9/2020,Fixed (20),0,31,484,274
282,9/9/2020,Fixed (4),0,150,184,274
283,9/9/2020,Hist Prev (20),0,128,220,275
284,9/9/2020,Hist Prev (4),0,153,184,275
